,averageDelayInMinutes
513,14.423076923076923
514,13.346153846153847
515,0.953125
516,7.241935483870968
517,0.3225806451612903
518,0.9032258064516129
519,2.032258064516129
520,0.3387096774193548
521,0.16129032258064516
522,-0.22580645161290322
523,-0.22580645161290322
524,0.5806451612903226
525,0.4838709677419355
526,0.41935483870967744
527,2.7096774193548385
528,-0.16129032258064516
529,-0.06451612903225806
530,1.5625
531,19.29032258064516
532,5.112903225806452
533,2.0161290322580645
534,-1.0161290322580645
535,4.887096774193548
536,0.6290322580645161
537,0.7419354838709677
538,4.419354838709677
539,1.967741935483871
540,0.43548387096774194
541,5.356060606060606
542,7.871212121212121
543,36.82575757575758
544,3.257575757575758
545,31.484848484848484
546,25.75
547,18.916666666666668
548,5.234848484848484
549,9.098484848484848
550,17.53030303030303
551,16.568181818181817
552,47.39393939393939
553,3.6464646464646466
554,7.91919191919192
555,33.58482142857143
556,79.21212121212122
557,143.38888888888889
558,1.6767676767676767
559,50.39393939393939
560,37.388392857142854
561,9.696969696969697
562,48.484848484848484
563,10.427536231884059
564,21.21014492753623
565,13.768115942028986
566,34.36231884057971
567,5.608695652173913
568,1.9565217391304348
569,0.8478260869565217
570,8.05072463768116
571,3.4057971014492754
572,38.572463768115945
573,8.246376811594203
574,51.292929292929294
575,4.9
576,29.081818181818182
577,0.2746478873239437
578,9.18125
579,3.5375
580,4.5125
581,13.99090909090909
582,4.2631578947368425
583,6.6125
584,13.463636363636363
585,1.2916666666666667
586,3.4285714285714284
587,10.017857142857142
588,2.5416666666666665
589,8.017857142857142
590,35.958333333333336
591,15.409090909090908
592,4.6938775510204085
593,43.33673469387755
594,6.4603174603174605
595,36.333333333333336
596,-0.16666666666666666
597,15.232142857142858
598,43.785714285714285
599,31.732142857142858
600,9.880952380952381
601,0.35714285714285715
602,26.75
603,1.2272727272727273
604,7.568965517241379
605,21.431818181818183
606,48.76136363636363
607,4.704545454545454
608,8.875
609,15.136363636363637
610,33.38636363636363
611,40.15909090909091
612,13.045454545454545
613,8.5
614,22.943181818181817
615,11.534090909090908
616,22.40909090909091
617,3.26271186440678
618,67.17105263157895
619,51.3640350877193
620,122.8076923076923
621,19.307692307692307
622,3.769230769230769
623,0.0
624,-0.6
625,3.6
626,9.607142857142858
627,-0.21428571428571427
628,0.9285714285714286
629,27.571428571428573
630,3.607142857142857
631,1.7857142857142858
632,14.107142857142858
633,0.8214285714285714
634,2.25
635,10.392857142857142
636,4.25
637,80.42857142857143
638,16.428571428571427
639,0.7857142857142857
640,6.107142857142857
641,0.5227272727272727
642,19.90909090909091
643,4.276315789473684
644,8.776315789473685
645,13.24
646,3.24
647,1.6071428571428572
648,1.0769230769230769
649,0.5384615384615384
650,21.153846153846153
651,25.96153846153846
652,2.576923076923077
653,10.73076923076923
654,6.8076923076923075
655,11.423076923076923
656,7.678571428571429
657,9.923076923076923
658,12.607142857142858
659,13.923076923076923
660,8.692307692307692
